subject;channels;auc_cross_val_mean;auc_cross_val_std
Patient_2;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24];0.6111111111111112;0.24922720062397724
Patient_2;[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24];0.8277777777777778;0.10341394704992381
Patient_2;[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23];0.8256944444444445;0.16345871038277524
Patient_2;[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23];0.8006944444444445;0.1016738764899511
Patient_2;[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23];0.7861111111111111;0.06309898162000303
Patient_2;[2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23];0.8277777777777778;0.14635488747021658
Patient_2;[2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 23];0.8041666666666666;0.10653782728202839
Patient_2;[2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 21, 23];0.8284722222222222;0.08989233958491338
Patient_2;[2, 3, 4, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 19, 21, 23];0.7472222222222222;0.1327533682816502
Patient_2;[2, 3, 4, 7, 10, 11, 12, 13, 15, 16, 17, 18, 19, 21, 23];0.7916666666666666;0.1576251217679012
