subject;channels;auc_cross_val_mean;auc_cross_val_std
Patient_1;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15];0.9366666666666668;0.07774602526460402
Patient_1;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15];0.9949999999999999;0.009999999999999964
Patient_1;[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15];0.9816666666666667;0.026034165586355504
Patient_1;[1, 2, 3, 4, 5, 6, 7, 9, 12, 13, 14, 15];0.9866666666666667;0.02666666666666666
Patient_1;[1, 3, 4, 5, 6, 7, 9, 12, 13, 14, 15];0.9816666666666667;0.026034165586355504
Patient_1;[1, 3, 4, 6, 7, 9, 12, 13, 14, 15];0.9866666666666667;0.02666666666666666
Patient_1;[1, 4, 6, 7, 9, 12, 13, 14, 15];0.9850000000000001;0.01999999999999997
Patient_1;[1, 4, 7, 9, 12, 13, 14, 15];0.99;0.019999999999999976
Patient_1;[1, 4, 7, 9, 12, 13, 15];0.9783333333333333;0.029627314724385317
Patient_1;[1, 4, 7, 9, 12, 15];0.9800000000000001;0.029154759474226483
Patient_1;[1, 15, 4, 12, 7];0.95;0.07582875444051551
Patient_1;[12, 15, 4, 7];0.985;0.02999999999999998
Patient_1;[12, 4, 7];0.99;0.020000000000000018
Patient_1;[4, 7];0.9833333333333334;0.021081851067789176
Patient_1;[4];0.9550000000000001;0.06227180564089805
